index,Hisse
1,AGHOL.IS
2,YYLGD.IS
3,YKBNK.IS
4,YATAS.IS
5,VESTL.IS
6,VESBE.IS
7,VAKBN.IS
8,ULKER.IS
9,TURSG.IS
10,TUPRS.IS
11,TUKAS.IS
12,TTRAK.IS
13,TTKOM.IS
14,TSPOR.IS
15,TSKB.IS
16,TRGYO.IS
17,TOASO.IS
18,TMSN.IS
19,TKFEN.IS
20,THYAO.IS
21,TCELL.IS
22,TAVHL.IS
23,SOKM.IS
24,SNGYO.IS
25,SMRTG.IS
26,SKBNK.IS
27,SISE.IS
28,SELEC.IS
29,SASA.IS
30,SAHOL.IS
31,QUAGR.IS
32,PSGYO.IS
33,PRKAB.IS
34,PGSUS.IS
35,PETKM.IS
36,OYAKC.IS
37,OTKAR.IS
38,ODAS.IS
39,NUGYO.IS
40,NTHOL.IS
41,MGROS.IS
42,MAVI.IS
43,LOGO.IS
44,KRDMD.IS
45,KOZAL.IS
46,KOZAA.IS
47,KORDS.IS
48,KONTR.IS
49,KCHOL.IS
50,KARTN.IS
51,KARSN.IS
52,JANTS.IS
53,ISMEN.IS
54,ISGYO.IS
55,ISFIN.IS
56,ISDMR.IS
57,ISCTR.IS
58,IPEKE.IS
59,HEKTS.IS
60,HALKB.IS
61,GWIND.IS
62,GUBRF.IS
63,GSDHO.IS
64,GOZDE.IS
65,GLYHO.IS
66,GESAN.IS
67,GENIL.IS
68,GARAN.IS
69,FROTO.IS
70,EREGL.IS
71,ERBOS.IS
72,ENKAI.IS
73,ENJSA.IS
74,EKGYO.IS
75,EGEEN.IS
76,ECILC.IS
77,DOHOL.IS
78,DOAS.IS
79,DEVA.IS
80,CIMSA.IS
81,CEMTS.IS
82,CCOLA.IS
83,BUCIM.IS
84,BRYAT.IS
85,BIMAS.IS
86,BERA.IS
87,BASGZ.IS
88,BAGFS.IS
89,AYDEM.IS
90,ASELS.IS
91,ARCLK.IS
92,ALKIM.IS
93,ALGYO.IS
94,ALBRK.IS
95,ALARK.IS
96,AKSEN.IS
97,AKSA.IS
98,AKFGY.IS
99,AKBNK.IS
100,AEFES.IS
